"player_page","player"
"/wiki/Rodney_Heath","Rodney Heath"
"/w/index.php?title=Herbert_Turner_(tennis)&action=edit&redlink=1","Herbert Turner"
"/wiki/Randolph_Lycett","Randolph Lycett"
"/w/index.php?title=Gordon_Wright_(tennis)&action=edit&redlink=1","Gordon Wright"
"/wiki/Albert_Curtis_(tennis)","Albert Curtis"
"/wiki/Eric_Pockley","Eric Pockley"
"/wiki/Alfred_Dunlop","Alfred Dunlop"
"/w/index.php?title=Reginald_Fraser&action=edit&redlink=1","Reginald Fraser"
"/wiki/Rodney_Heath","R Heath"
"/w/index.php?title=Timothy_Fitchett&action=edit&redlink=1","T Fitchett"
"/wiki/Horace_Rice","H Rice"
"/w/index.php?title=Herbert_Turner_(tennis)&action=edit&redlink=1","H Turner"
"/wiki/Randolph_Lycett","R Lycett"
"/w/index.php?title=Gordon_Wright_(tennis)&action=edit&redlink=1","G Wright"
"/w/index.php?title=David_Harbison&action=edit&redlink=1","D Harbison"
"/wiki/Albert_Curtis_(tennis)","A Curtis"
"/wiki/Eric_Pockley","E Pockley"
"/wiki/Alfred_Dunlop","A Dunlop"
"/w/index.php?title=Reginald_Fraser&action=edit&redlink=1","R Fraser"
"/wiki/Anthony_Wilding","Anthony Wilding"
"/w/index.php?title=Cecil_C._Cox&action=edit&redlink=1","Cecil C Cox"
"/wiki/Harry_Parker_(tennis)","Harry Parker"
"/w/index.php?title=Richard_Harman_(tennis)&action=edit&redlink=1","Richard Harman"
"/wiki/Francis_Fisher","Francis Fisher"
"/w/index.php?title=Thomas_R._Quill&action=edit&redlink=1","Thomas R Quill"
"/w/index.php?title=William_Goss_(tennis)&action=edit&redlink=1","William Goss"
"/wiki/Horace_Rice","Horace Rice"
"/w/index.php?title=Henry_Macauley_Turner&action=edit&redlink=1","HM Turner"
"/w/index.php?title=William_Gregg_(tennis)&action=edit&redlink=1","William Gregg"
"/w/index.php?title=A.E._Turton&action=edit&redlink=1","AE Turton"
"/w/index.php?title=Vincent_Verge_Rudder&action=edit&redlink=1","VV Rudder"
"/wiki/H._M._Turner","H M Turner"
"/wiki/Stanley_Doust","S N Doust"
"/w/index.php?title=William_Gregg_(tennis)&action=edit&redlink=1","W Gregg"
"/w/index.php?title=A._E._Turton&action=edit&redlink=1","A E Turton"
"/wiki/Harry_Parker_(tennis)","H A Parker"
"/w/index.php?title=Vincent_Verge_Rudder&action=edit&redlink=1","V V Rudder"
"/wiki/Eric_Pockley","E O Pockley"
"/wiki/Bert_St._John","C B St John"
"/wiki/Fred_Alexander","Fred Alexander"
"/w/index.php?title=Henry_Gibbes&action=edit&redlink=1","Henry Gibbes"
"/w/index.php?title=F._Cupples&action=edit&redlink=1","F Cupples"
"/wiki/Stanley_Doust","Stanley Doust"
"/wiki/Percy_Colquhoun","Percy Colquhoun"
"/w/index.php?title=R._Eagle&action=edit&redlink=1","R Eagle"
"/w/index.php?title=R._Kelsey&action=edit&redlink=1","R Kelsey"
"/w/index.php?title=I._Gibbs&action=edit&redlink=1","I Gibbs"
"/wiki/Ernie_Parker","Ernie Parker"
"/w/index.php?title=I._Gaze&action=edit&redlink=1","I Gaze"
"/w/index.php?title=G._O%27Dea&action=edit&redlink=1","G ODea"
"/w/index.php?title=L._Crooks&action=edit&redlink=1","L Crooks"
"/w/index.php?title=R._Reid&action=edit&redlink=1","R Reid"
"/w/index.php?title=R._Paxton&action=edit&redlink=1","R Paxton"
"/w/index.php?title=A._Smith&action=edit&redlink=1","A Smith"
"/wiki/Roy_Taylor_(tennis)","A Roy Taylor"
"/w/index.php?title=J.L._O%27Dea&action=edit&redlink=1","JL ODea"
"/w/index.php?title=H._Hunt&action=edit&redlink=1","H Hunt"
"/w/index.php?title=F._Wyllie&action=edit&redlink=1","F Wyllie"
"/w/index.php?title=Robert_Bowen_(tennis)&action=edit&redlink=1","Robert Bowen"
"/w/index.php?title=Victor_V._Rudder&action=edit&redlink=1","Victor V Rudder"
"/wiki/Ashley_Campbell_(tennis_player)","Ashley Campbell"
"/w/index.php?title=Francis_E._Barritt&action=edit&redlink=1","Francis E Barritt"
"/wiki/Norman_Brookes","Norman Brookes"
"/wiki/Robert_M._Rolland","Robert M Rolland"
"/wiki/Arthur_O%27Hara_Wood","Arthur OHara Wood"
"/w/index.php?title=Alfred_B._Jones&action=edit&redlink=1","Alfred B Jones"
"/w/index.php?title=John_J._Addison&action=edit&redlink=1","John J Addison"
"/wiki/Rupert_Wertheim","Rupert Wertheim"
"/w/index.php?title=F._Ernest_Down&action=edit&redlink=1","F Ernest Down"
"/w/index.php?title=Charles_N._Barnard&action=edit&redlink=1","Charles N Barnard"
