"player_page","player"
"/wiki/Spencer_Gore_(sportsman)","Spencer Gore"
"/wiki/Charles_Gilbert_Heathcote","Charles Heathcote"
"/wiki/William_Marshall_(tennis)","William Marshall"
"/wiki/Spencer_Gore_(sportsman)","S Gore"
"/wiki/Charles_Buller_(cricketer,_born_1846)","Charles Buller"
"/wiki/Lestocq_Robert_Erskine","Lestocq Robert Erskine"
"/wiki/Lestocq_Robert_Erskine","R Erskine"
"/wiki/Bayly_Akroyd","Bayly Akroyd"
"/wiki/William_Marshall_(tennis)","W Marshall"
"/wiki/Bayly_Akroyd","BN Akroyd"
"/wiki/Frederick_Oliver","Frederick Oliver"
"/wiki/Frederick_Oliver","FW Oliver"
"/wiki/Julian_Marshall","Julian Marshall"
"/wiki/Julian_Marshall","J Marshall"
"/wiki/Charles_Gilbert_Heathcote","C Heathcote"
"/wiki/Frank_Hadow","Frank Hadow"
"/wiki/Lestocq_Robert_Erskine","Robert Erskine"
"/wiki/Herbert_Lawford","Herbert Lawford"
"/wiki/Arthur_Thomas_Myers","Arthur Myers"
"/wiki/Seton_Montolieu_Montgomerie","S Montgomerie"
"/wiki/Seton_Montolieu_Montgomerie","Seton Montgomerie"
"/wiki/George_Montgomerie,_15th_Earl_of_Eglinton","George Montgomerie"
"/wiki/George_Montgomerie,_15th_Earl_of_Eglinton","G Montgomerie"
"/wiki/Herbert_Lawford","H Lawford"
"/wiki/Arthur_Tabor","Arthur Tabor"
"/wiki/Arthur_Tabor","A Tabor"
"/wiki/Frank_Hadow","F Hadow"
"/wiki/Arthur_Thomas_Myers","A Myers"
"/wiki/Alexander_Hadow","A Hadow"
"/wiki/Alexander_Hadow","Alexander Hadow"
"/wiki/John_Hartley_(tennis)","John Hartley"
"/wiki/Cecil_Parr","Cecil Parr"
"/wiki/Vere_St._Leger_Goold","Vere St Leger Goold"
"/wiki/Victor_Brooke","Victor Brooke"
"/wiki/Victor_Brooke","V Brooke"
"/wiki/Ernest_Renshaw","Ernest Renshaw"
"/wiki/John_Hartley_(tennis)","J Hartley"
"/wiki/Henry_Mulholland,_2nd_Baron_Dunleath","Henry Mulholland"
"/wiki/Cecil_Parr","C Parr"
"/wiki/Edward_Buxton_(conservationist)","Edward Buxton"
"/wiki/Edward_Buxton_(conservationist)","E Buxton"
"/wiki/George_Gough_Arbuthnot","George Arbuthnot"
"/wiki/George_Gough_Arbuthnot","G Arbuthnot"
"/wiki/Otway_Woodhouse","Otway Woodhouse"
"/wiki/William_Renshaw","William Renshaw"
"/wiki/L._Forbes_Winslow","Lyttleton Winslow"
"/wiki/Edgar_Lubbock","E Lubbock"
"/wiki/Edgar_Lubbock","Edgar Lubbock"
"/wiki/Vere_St._Leger_Goold","V Goold"
"/wiki/George_Butterworth_(tennis)","George Butterworth"
"/wiki/William_Renshaw","W Renshaw"
"/wiki/Frederick_Maddison_(footballer)","Frederick Maddison"
"/wiki/Otway_Woodhouse","O Woodhouse"
"/wiki/Ernest_Renshaw","E Renshaw"
"/wiki/Ernest_Renshaw","JE Renshaw"
"/wiki/Henry_Mulholland,_2nd_Baron_Dunleath","H Mulholland"
"/wiki/William_Trollope","William Trollope"
"/wiki/William_Trollope","GS MurrayHill"
"/wiki/Frank_Benson_(actor)","Frank Benson"
"/wiki/Richard_Taswell_Richardson","Richard Richardson"
"/wiki/Richard_Taswell_Richardson","R Richardson"
"/wiki/Alexander_Kaye_Butterworth","Kaye Butterworth"
"/wiki/Kenneth_McAlpine_(cricketer)","Kenneth McAlpine"
"/wiki/Kenneth_McAlpine_(cricketer)","K McAlpine"
"/wiki/Frederick_Crowder_(cricketer,_born_1845)","Frederick Crowder"
"/wiki/George_Butterworth_(tennis)","G Butterworth"
"/wiki/William_Renshaw","GS MurrayHill"
"/wiki/Harry_Grove","Harry Grove"
"/wiki/Arthur_J._Stanley","Arthur Stanley"
"/wiki/Ernest_Browne","Ernest Browne"
"/wiki/Claude_Farrer","Claude Farrer"
"/wiki/Ernest_Browne","E Browne"
"/wiki/P._G._von_Donop","PG von Donop"
"/wiki/Herbert_Chipp","Herbert Chipp"
"/wiki/Arthur_J._Stanley","A Stanley"
"/wiki/Herbert_Wilberforce","Herbert Wilberforce"
"/wiki/Herbert_Wilberforce","H Wilberforce"
"/wiki/Donald_Stewart_(tennis)","Donald Stewart"
"/wiki/Frank_Benson_(actor)","F Benson"
"/wiki/Francis_Algernon_Govett","Francis Govett"
"/wiki/Harry_S._Barlow","Harry Barlow"
"/wiki/Donald_Stewart_(tennis)","D Stewart"
"/wiki/Claude_Farrer","C Farrer"
"/wiki/Leopold_Maxse","Leopold Maxse"
"/wiki/Charles_Walder_Grinstead","Charles Grinstead"
"/wiki/Charles_Walder_Grinstead","C Grinstead"
"/wiki/Brien_Cokayne,_1st_Baron_Cullen_of_Ashbourne","B Cokayne"
"/wiki/Brien_Cokayne,_1st_Baron_Cullen_of_Ashbourne","Brien Cokayne"
"/wiki/Richard_Sears_(tennis)","Richard Sears"
"/wiki/Patrick_Bowes-Lyon","Patrick BowesLyon"
"/wiki/Patrick_Bowes-Lyon","P BowesLyon"
"/wiki/Herbert_Chipp","H Chipp"
"/wiki/James_Dwight","James Dwight"
"/wiki/James_Dwight","J Dwight"
"/wiki/Ernest_George_Meers","Ernest Meers"
"/wiki/Ernest_Lewis_(tennis)","Ernest Lewis"
"/wiki/Harry_Grove","H Grove"
"/wiki/Charles_Ross_(English_cricketer)","Charles Ross"
"/wiki/Toler_Garvey","Toler Garvey"
"/wiki/Willoughby_Hamilton","Willoughby Hamilton"
"/wiki/Willoughby_Hamilton","W Hamilton"
"/wiki/Toler_Garvey","T Garvey"
"/wiki/Ernest_Lewis_(tennis)","E Lewis"
"/wiki/Charles_Ross_(English_cricketer)","C Ross"
"/wiki/Charles_Lacy_Sweet","Charles Lacy Sweet"
"/wiki/Arthur_Gore_(tennis)","Arthur Gore"
"/wiki/George_Hillyard","George Hillyard"
"/wiki/Harry_S._Barlow","H Barlow"
"/wiki/George_Hillyard","G Hillyard"
"/wiki/Manliffe_Goodbody","Manliffe Goodbody"
"/wiki/Manliffe_Goodbody","M Goodbody"
"/wiki/A._W._Andrews","AW Andrews"
"/wiki/Joshua_Pim","Joshua Pim"
"/wiki/Joshua_Pim","J Pim"
"/wiki/Wilberforce_Eaves","Wilberforce Eaves"
"/wiki/Wilberforce_Eaves","W Eaves"
